class_group,gender,YOB,regret_choosing_bi,drop_bi_now,motivator,read_content_before_lecture,anticipate_test_questions,answer_rhetorical_questions,find_terms_I_do_not_know,copy_new_terms_in_reading_notebook,take_quizzes_and_use_results,reorganise_course_outline,write_down_important_points,space_out_revision,studying_in_study_group,schedule_appointments,goal_oriented,spaced_repetition,testing_and_active_recall,interleaving,categorizing,retrospective_timetable,cornell_notes,sq3r,commute,study_time,repeats_since_Y1,paid_tuition,free_tuition,extra_curricular,sports_extra_curricular,exercise_per_week,meditate,pray,internet,laptop,family_relationships,friendships,romantic_relationships,spiritual_wellnes,financial_wellness,health,day_out,night_out,alcohol_or_narcotics,mentor,mentor_meetings,A - 1. I am enjoying the subject,A - 2. Classes start and end on time,"A - 3. The learning environment is participative, involves learning by doing and is group-based",A - 4. The subject content is delivered according to the course outline and meets my expectations,A - 5. The topics are clear and logically developed,A - 6. I am developing my oral and writing skills,A - 7. I am developing my reflective and critical reasoning skills,A - 8. The assessment methods are assisting me to learn,A - 9. I receive relevant feedback,A - 10. I read the recommended readings and notes,A - 11. I use the eLearning material posted,B - 1. Concept 1 of 6: Principles of Business Intelligence and the DataOps Philosophy,B - 2. Concept 3 of 6: Linear Algorithms for Predictive Analytics,C - 2. Quizzes at the end of each concept,C - 3. Lab manuals that outline the steps to follow during the labs,C - 4. Required lab work submissions at the end of each lab manual that outline the activity to be done on your own,C - 5. Supplementary videos to watch,C - 6. Supplementary podcasts to listen to,C - 7. Supplementary content to read,C - 8. Lectures slides,C - 9. Lecture notes on some of the lecture slides,"C - 10. The quality of the lectures given (quality measured by the breadth (the full span of knowledge of a subject) and depth (the extent to which specific topics are focused upon, amplified, and explored) of learning - NOT quality measured by how fun/comical/lively the lectures are)",C - 11. The division of theory and practice such that most of the theory is done during the recorded online classes and most of the practice is done during the physical classes,C - 12. The recordings of online classes,"D - 1. 
Write two things you like about the teaching and learning in this unit so far.",D - 2. Write at least one recommendation to improve the teaching and learning in this unit (for the remaining weeks in the semester),Average Course Evaluation Rating,Average Level of Learning Attained Rating,Average Pedagogical Strategy Effectiveness Rating,Project: Section 1-4: (20%) x/10,Project: Section 5-11: (50%) x/10,Project: Section 12: (30%) x/5,Project: (10%): x/30 x 100 TOTAL,Quiz 1 on Concept 1 (Introduction) x/32,Quiz 3 on Concept 3 (Linear) x/15,Quiz 4 on Concept 4 (Non-Linear) x/22,Quiz 5 on Concept 5 (Dashboarding) x/10,Quizzes and  Bonus Marks (7%): x/79 x 100 TOTAL,Lab 1 - 2.c. - (Simple Linear Regression) x/5,Lab 2 - 2.e. -  (Linear Regression using Gradient Descent) x/5,Lab 3 - 2.g. - (Logistic Regression using Gradient Descent) x/5,Lab 4 - 2.h. - (Linear Discriminant Analysis) x/5,Lab 5 - Chart JS Dashboard Setup x/5,Lab Work (7%) x/25 x 100,CAT 1 (8%): x/38 x 100,CAT 2 (8%): x/100 x 100,"Attendance Waiver Granted: 1 = Yes, 0 = No",Absenteeism Percentage,Coursework TOTAL: x/40 (40%),EXAM: x/60 (60%),TOTAL = Coursework TOTAL + EXAM (100%),GRADE
B,0,2002,0,0,0,2,3,3,4,2,5,1,2,1,1,1,0,2,2,2,2,2,3,2,2,1,2,0,0,0,0,1,3,2,1,1,5,4,2,2,3,4,1,1,1,0,0,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,easy to understand  well explained,so far so good,4.0000,5.0000,5.0000,6.0,7.8,3.8,70.40,17.13,15.00,15.17,,59.87,5.00,2.15,4.25,4.85,5.00,85.00,85.52,68.00,0,14.81,29.46,25.00,54.46,C
B,1,2002,0,0,1,4,4,4,4,4,4,4,4,4,3,3,0,1,2,2,2,2,2,2,3,2,2,0,0,0,1,1,1,3,1,1,4,4,3,4,4,4,1,1,0,1,0,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,mode of delivery,none,4.0000,3.0000,3.8182,7.8,9.0,0.0,67.20,9.08,7.00,11.67,9.00,46.51,5.00,2.85,4.85,4.85,5.00,90.20,59.21,32.00,0,11.11,23.58,18.00,41.58,D
B,0,2002,0,0,1,3,4,4,4,4,5,5,5,5,4,2,0,2,3,3,3,4,3,3,4,3,2,0,1,0,0,0,1,2,0,1,3,5,3,3,3,2,1,0,0,0,0,4,4,4,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,The lecturer's way of responding to questions  The way the concepts are developed each topic,The vocal variation of the lecturer during physical classes. It is a bit difficult to follow through with his voice as it is low,4.5455,4.0000,5.0000,8.1,8.0,0.0,64.40,13.48,14.00,17.50,9.00,68.32,5.00,2.45,4.85,1.85,5.00,76.60,60.52,,0,22.22,21.42,39.00,60.42,B
C,0,2002,0,0,0,2,3,5,3,3,4,3,5,3,2,2,0,2,2,3,3,3,4,4,1,2,4,1,0,1,1,1,1,3,0,1,5,4,0,3,4,5,2,1,0,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,It’s complex but understandable ,Less content,5.0000,4.0000,5.0000,8.2,8.4,0.0,66.40,12.45,5.00,7.58,6.33,39.69,5.00,2.85,2.85,3.15,0.00,55.40,61.84,,0,3.70,18.24,22.00,40.24,D
C,0,2001,0,0,0,2,2,2,3,4,4,3,3,3,5,1,0,3,3,2,3,4,4,4,2,1,2,0,0,1,0,0,0,1,1,1,5,5,0,2,3,4,1,1,0,0,0,4,5,4,5,5,4,4,5,5,4,4,4,4,5,5,5,5,5,5,2,2,4,5,5,Classes start and end on time  Content is delivered well,The lecture slides are too many and tiresome to read. Few slides will be recommendable. Otherwise so far so good,4.4545,4.0000,4.3636,7.0,9.0,0.0,64.00,6.75,10.00,7.25,,30.37,5.00,5.00,4.85,5.00,0.00,79.40,59.21,0.00,0,25.93,18.82,27.00,45.82,D
C,0,2001,0,0,1,3,1,3,2,2,3,2,2,2,1,1,0,1,2,2,2,3,3,1,1,1,3,0,1,0,0,0,0,3,1,1,3,2,3,3,1,2,0,0,1,0,0,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,The concepts are clearly outlined and the notes are available before the lectures so I can read ahead.  The lecturer takes us through the content well and answers the questions asked in class.,I would have liked the CATs to have less multiple choices and assess the understanding of concepts through open questions instead of recall.,4.8182,4.5000,5.0000,10.0,0.0,0.0,40.00,29.50,14.00,13.75,5.00,78.79,5.00,4.45,4.85,5.00,5.00,97.20,89.47,,0,22.22,23.47,32.00,55.47,C
C,0,2001,0,0,1,3,4,3,4,4,3,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,0,0,0,1,0,1,0,3,1,1,4,3,0,4,3,3,1,0,0,1,3,4,5,5,5,5,4,4,4,4,5,5,4,3,4,5,5,3,3,3,5,5,5,4,3,1. It s practical.  2. The lecturer is well versed with the content he is teaching.,For us to review the lab work submissions of previous labs,4.5455,3.5000,4.0909,7.0,6.0,4.9,71.60,16.32,15.00,19.00,9.00,75.08,5.00,4.45,4.85,5.00,5.00,97.20,86.84,100.00,0,7.14,34.16,42.00,76.16,A
C,0,2000,0,0,0,3,3,5,5,4,5,4,5,3,4,1,0,3,2,3,2,4,4,2,1,2,0,1,1,0,0,1,3,3,1,1,3,4,0,4,4,3,0,0,0,1,1,4,5,4,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,"The explanation of concepts is quite clear through the explanations given,making understanding easy.  The learning is gradual and covers the given scope ",No recommendatios ,4.6364,4.5000,4.9091,7.0,6.0,4.9,71.60,11.25,14.00,17.50,12.67,70.15,5.00,4.50,2.85,5.00,5.00,89.40,59.21,100.00,0,11.54,31.06,44.00,75.06,A
B,1,2000,0,0,1,5,5,5,5,4,4,4,3,3,4,1,0,2,3,2,3,2,3,2,4,3,5,0,0,0,1,2,1,3,1,1,4,4,4,2,3,3,2,2,3,0,0,4,4,4,5,5,5,4,4,4,4,5,4,4,4,4,4,5,5,5,4,4,4,4,5,the topics are interesting  the notes are well developed,to include more quizes,4.3636,4.0000,4.3636,9.0,7.5,4.0,82.00,21.35,15.00,18.00,8.00,78.92,5.00,5.00,4.85,5.00,0.00,79.40,57.89,91.00,0,22.22,31.19,18.00,49.19,D
B,0,2001,0,0,1,1,4,2,1,1,5,2,2,1,1,3,1,3,3,2,3,1,1,3,2,1,0,0,0,0,0,0,0,1,1,1,5,5,4,3,2,1,2,3,1,0,0,4,4,4,5,5,4,4,5,5,4,4,4,2,5,5,5,5,5,5,5,5,5,5,5,i like the fact that we have lecture notes  i appreciate the amount of extra resources provided to us and i appreciate the fac that our teacher is always willing to lend a helping hand,i have no recomendations,4.3636,3.0000,5.0000,9.0,8.0,0.0,68.00,15.45,9.00,12.25,7.00,55.31,5.00,5.00,4.28,,5.00,77.12,76.31,,0,3.70,22.17,53.00,75.17,A
B,1,2001,0,0,1,4,4,4,4,4,4,4,4,4,4,3,1,3,3,3,3,3,3,3,3,1,1,1,0,0,1,1,1,1,1,1,4,4,0,4,2,5,0,0,0,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,inhtegrating ineractive mode of delivery during labs,interactive mode in online classes,5.0000,5.0000,5.0000,9.0,8.2,0.0,68.80,4.75,7.00,9.00,,26.26,5.00,2.15,4.85,4.85,5.00,87.40,57.89,52.00,0,0.00,23.62,18.00,41.62,D
B,0,2001,0,0,1,5,5,4,4,4,5,5,5,5,5,2,1,4,4,2,3,3,2,3,1,3,0,0,0,1,0,0,0,1,1,1,5,5,0,4,3,4,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The lecturer clearly explains the concepts and also encourages people to engage in class participation.  The meetings that a student sets  is very important because they are able to get further assistance on the concepts,Go through the lengthy topics again so that the students can remember the concepts,5.0000,5.0000,5.0000,7.4,8.0,2.0,69.60,30.25,15.00,20.00,10.00,95.25,5.00,5.00,4.85,5.00,5.00,99.40,97.36,60.00,0,3.70,33.17,53.00,86.17,A
B,0,2002,0,0,1,1,4,3,1,3,3,4,3,2,1,1,0,2,4,2,2,4,1,3,2,1,1,0,1,0,0,1,1,1,1,1,4,4,0,3,2,4,1,1,0,0,0,5,5,4,5,5,3,3,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,Business Intelligence is a fascinating unit and the lecturer makes it more interesting with how he teaches and explains.,Group work assignments cause we don't really have group assignments. ,4.4545,4.0000,5.0000,6.0,0.0,0.0,24.00,8.42,8.00,,6.83,29.43,5.00,3.00,4.85,4.85,5.00,90.80,50.00,50.00,0,22.22,18.81,38.00,56.81,C
C,0,2002,0,0,0,2,3,2,4,2,3,2,3,2,2,2,0,2,2,2,3,3,2,2,3,1,2,0,0,1,0,0,1,3,1,1,5,4,0,3,3,4,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,4,4,the notes are very well presented,everything is okay,5.0000,3.0000,3.8182,9.0,8.0,0.0,68.00,7.45,10.50,14.25,,40.75,3.00,3.45,,5.00,5.00,65.80,68.42,88.00,0,18.52,26.77,34.00,60.77,B
C,1,2000,0,0,1,1,4,2,3,2,5,3,4,2,1,1,0,2,2,2,2,2,2,2,3,2,0,0,0,0,0,1,0,3,1,1,5,3,0,3,3,4,1,1,0,0,0,4,5,3,5,5,1,2,1,3,5,5,4,3,5,5,4,1,1,3,5,5,5,4,5,Punctuality  Understanding ,Few and summarised slides (notes),3.5455,3.5000,3.9091,10.0,10.0,5.0,100.00,12.33,14.00,19.83,3.33,62.64,5.00,5.00,4.85,5.00,5.00,99.40,73.68,96.00,0,30.77,34.91,47.00,81.91,A
A,1,2001,0,0,1,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,3,3,2,3,2,1,5,0,0,1,1,1,0,0,1,1,4,4,2,3,3,5,1,1,0,0,1,4.00,4.00,4.00,5.00,4.00,5.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,5.00,4.00,3.00,4.00,4.00,5.00,4.00,4.00,It is easy to understand.  Well prsented in a fluent manner.,.,4.2727,4.0000,4.0000,6.0,2.0,0.0,32.00,9.75,7.00,3.50,4.00,30.69,5.00,3.85,5.00,2.15,0.00,64.00,32.89,,0,14.81,12.45,35.00,47.45,D
A,1,2001,0,0,0,3,3,3,3,3,3,2,2,3,2,1,0,3,4,2,2,2,4,4,4,1,5,0,0,1,1,3,0,3,1,1,5,5,0,5,3,5,1,1,0,0,0,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,It is very engaging,Student involvement   ,4.7273,4.0000,4.7273,8.0,6.0,1.0,60.00,19.43,6.00,3.00,1.67,38.10,5.00,4.25,5.00,4.85,0.00,76.40,46.05,0.00,0,30.77,17.69,41.00,58.69,C
A,0,2001,0,0,1,4,4,4,3,3,4,4,5,4,2,1,1,3,3,2,3,3,4,4,3,3,7,0,0,0,0,1,1,3,0,1,3,3,0,5,3,5,0,0,0,0,0,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,Everything is understadable,To reduce number of slides,5.0000,5.0000,5.0000,9.0,8.0,0.0,68.00,6.25,4.00,13.25,4.33,35.22,5.00,5.00,2.85,4.85,0.00,70.80,86.84,0.00,0,14.81,21.16,32.00,53.16,C
C,1,2002,0,0,0,4,4,1,1,1,3,1,1,1,1,1,0,2,2,2,2,1,1,4,2,1,1,0,0,0,0,0,0,3,1,1,3,4,4,3,1,3,0,0,0,0,1,4,5,5,5,5,3,4,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,teacher is good at teaching  lessons are easy to follow,no recommendation,4.2727,3.0000,4.0000,7.0,2.0,0.0,36.00,14.08,8.00,18.67,,51.58,5.00,5.00,,3.15,5.00,72.60,63.15,,0,18.52,17.34,25.00,42.34,D
B,0,2002,0,0,0,2,4,4,5,4,5,3,4,4,3,2,0,2,3,3,3,3,3,3,3,2,1,0,1,1,0,0,0,2,0,1,4,4,2,4,2,3,1,1,1,0,0,5,5,4,5,4,4,4,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,1. interactive  2. interesting,so far none,4.6364,3.5000,5.0000,8.6,8.0,0.0,66.40,14.92,15.00,13.50,10.00,67.62,5.00,5.00,4.85,4.85,0.00,78.80,77.63,,0,29.63,23.09,43.00,66.09,B
C,0,2002,0,0,0,4,4,4,4,4,4,4,4,3,1,2,0,3,3,3,3,1,2,2,3,2,0,0,0,1,0,0,1,1,1,1,4,4,3,3,4,4,1,0,0,0,1,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,4,3,5,5,5,5,5,The pace of how the topics are developed.,To provide more material to understand concept two better. ,4.8182,4.5000,4.6364,8.3,8.3,0.0,66.40,20.58,5.00,16.75,5.67,60.75,5.00,5.00,4.85,5.00,5.00,99.40,80.26,82.00,0,29.63,30.83,32.00,62.83,B
B,1,2001,0,0,1,3,4,3,4,3,4,4,3,3,4,2,1,2,3,2,3,2,3,2,4,2,1,0,0,0,0,2,2,2,1,1,3,4,0,3,2,3,1,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,4,5,the lessons are indulging and interesting  the concepts are well explained,more practical sessions,4.0000,4.5000,4.4545,9.0,8.7,3.2,83.60,15.07,11.00,14.83,8.00,61.89,5.00,5.00,4.85,4.85,5.00,98.80,48.68,64.00,0,7.41,28.62,16.00,44.62,D
C,1,2002,0,1,1,3,5,3,5,5,5,3,5,4,1,1,0,1,4,3,4,4,3,1,2,1,0,0,0,0,0,2,0,3,1,1,5,5,0,5,5,5,1,0,0,1,1,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,5,1,1,1,5,3,5,5,5,The lab manuals that help to fully understand the more practical aspects in BI.  The quizzes that are hard but encourage you to read.,Allow is to do make up for our quizzes if we scored extremely low,4.4545,5.0000,3.7273,9.0,9.0,5.0,92.00,6.95,12.00,17.00,9.00,56.89,5.00,5.00,5.00,5.00,5.00,100.00,88.15,65.00,0,22.22,32.43,33.00,65.43,B
A,0,1999,0,0,1,2,5,3,4,4,4,3,5,5,3,1,0,3,4,2,3,2,3,4,1,3,0,0,0,0,0,0,2,2,1,1,3,3,0,5,4,5,0,0,0,0,0,4.00,4.00,4.00,4.00,5.00,4.00,5.00,4.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,How BI can be used in Churn Customer Prediction and Lecturer confirms everyone has understood the topic,N/A,4.2727,5.0000,5.0000,10.0,10.0,0.0,80.00,28.75,14.00,21.00,5.67,87.87,5.00,5.00,5.00,3.45,5.00,93.80,88.15,62.00,0,51.85,32.72,55.00,87.72,A
A,1,2000,1,0,1,3,4,4,4,3,4,5,4,3,3,2,0,3,4,3,3,3,4,4,2,1,1,0,0,0,1,1,0,3,1,1,4,4,0,4,2,4,1,0,1,1,0,4.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,5.00,4.00,4.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,2.00,willing to help and assist,the lab manuals to be given the a week to complete,4.7273,4.5000,3.3636,8.5,8.9,0.0,69.60,28.50,4.00,19.67,6.00,73.63,5.00,5.00,5.00,4.45,5.00,97.80,61.84,62.00,0,7.41,28.86,44.00,72.86,A
B,1,2001,0,0,1,4,4,4,4,5,5,4,4,4,3,3,0,3,3,3,3,3,2,2,4,2,5,0,1,0,0,1,1,2,1,1,4,4,4,4,2,4,1,1,1,0,1,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,the labs and quizzes are helpful,none,4.9091,4.0000,5.0000,9.0,8.1,0.0,68.40,15.50,12.00,11.50,10.00,62.02,5.00,5.00,4.85,5.00,5.00,99.40,60.52,20.00,0,18.52,24.58,36.00,60.58,B
A,0,2002,0,0,0,2,4,4,3,5,5,4,4,4,3,2,1,3,3,3,3,2,2,2,2,2,2,0,0,1,1,1,0,2,1,1,3,4,0,3,3,4,1,1,1,0,1,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,4.00,I like how the lecturer explains the concepts in thus unit,More quizzes,4.5455,5.0000,4.7273,7.0,8.0,0.0,60.00,16.95,6.00,20.00,8.00,64.49,5.00,3.45,4.85,,0.00,53.20,77.63,,0,22.22,20.44,26.00,46.44,D
C,1,2000,0,0,1,5,5,5,5,5,5,5,5,5,5,2,1,2,3,3,4,3,4,2,3,4,0,1,1,0,0,1,2,3,1,1,5,5,4,5,5,5,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"The concepts learnt are expanded broadly   There is a quiz after each  concept to check how well you know the concept or if you have to fine turn by reading,understanding and also asking questions",The process so far has no flows it is a perfect learning experience i will recommend nothing for now,5.0000,5.0000,5.0000,7.0,6.0,4.9,71.60,19.45,13.00,15.75,6.33,69.02,5.00,5.00,4.85,5.00,5.00,99.40,75.00,100.00,0,7.41,32.94,31.00,63.94,B
B,1,2001,0,0,1,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,4,1,2,0,0,1,1,3,3,3,1,1,5,5,4,4,2,4,0,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,3,3,3,2,4,4,4,2,just add more notes and less slides,more elabotration on the labs many people are getting stuck in class and its discouraging them,4.0000,3.5000,3.5455,7.0,7.0,0.0,56.00,10.42,11.00,9.50,3.00,42.93,,,,,5.00,20.00,71.05,,0,18.52,15.68,28.00,43.68,D
A,1,2001,0,0,0,3,3,3,4,4,5,3,4,3,4,2,0,1,4,2,3,2,3,3,4,4,3,0,1,1,1,2,1,2,1,1,4,4,0,3,1,4,1,1,1,1,1,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,Data entry  Data intergation,.,4.0000,3.0000,4.0909,7.0,8.0,0.0,60.00,12.50,5.00,11.83,4.83,43.24,5.00,5.00,5.00,4.85,0.00,79.40,47.36,42.00,0,29.63,21.73,,21.73,E
A,1,2002,0,0,1,2,1,2,1,2,2,4,1,2,2,1,1,3,3,3,3,3,3,3,3,2,0,0,0,0,0,1,1,2,1,1,5,4,0,3,4,5,1,0,0,0,0,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,Its very broad and focuses on the business aspect technological wise.  There is detailed information that i can use for my project and knowledge on how businesses run,More practical assignments and quizzes.,5.0000,5.0000,5.0000,8.0,2.0,0.0,40.00,31.25,11.00,22.00,5.67,88.50,5.00,5.00,5.00,3.85,5.00,95.40,85.52,40.00,0,30.77,26.91,56.00,82.91,A
B,1,2000,0,0,0,3,3,4,4,4,4,4,4,3,3,3,0,2,3,1,1,2,1,1,1,2,3,0,0,0,1,1,0,3,1,1,4,4,0,3,3,4,0,0,0,1,1,4,5,5,5,5,4,5,3,5,5,5,4,4,5,5,5,5,3,5,5,5,5,4,5,I like that  we are able to solve real world problems in the business world with the concepts taught in class.,I would recommend more of project based evaluation rather CATs,4.6364,4.0000,4.7273,8.9,6.0,0.0,59.60,17.97,8.00,12.33,5.67,55.65,5.00,5.00,4.85,4.85,5.00,98.80,64.47,90.00,0,11.11,29.12,12.00,41.12,D
C,1,2001,0,0,1,1,1,2,4,4,5,5,5,1,1,1,0,1,1,1,2,2,4,1,4,1,0,0,0,1,1,2,0,1,1,1,2,4,3,4,1,4,1,2,2,1,2,4,4,5,4,3,3,4,4,5,3,5,4,2,5,4,3,4,4,3,5,5,4,3,3,the unit is well developed for understanding   we are able to make references to real world scenarios ,sometimes the lecture slides more too fast,4.0000,3.0000,3.9091,8.0,7.0,0.0,60.00,16.62,9.00,14.67,3.50,55.43,5.00,2.15,2.85,2.85,0.00,51.40,60.52,,0,23.08,18.31,42.00,60.31,B
B,1,2002,0,0,1,2,3,3,3,3,4,3,4,3,3,1,0,3,3,3,3,3,3,3,3,1,2,0,0,1,1,1,1,3,1,1,3,4,3,3,3,4,1,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The lecturer explains everything in a manner that makes it easy to understand,So far so good,5.0000,5.0000,5.0000,9.0,4.0,0.0,52.00,10.73,6.00,,5.83,28.55,4.00,4.00,4.00,,5.00,68.00,60.52,68.00,0,18.52,22.24,21.00,43.24,D
C,1,2001,0,0,1,2,3,3,3,2,3,3,3,2,3,1,0,2,3,2,2,3,3,3,2,1,2,0,0,0,0,1,2,1,1,1,5,4,3,4,2,4,1,1,0,0,0,4,5,4,4,4,4,4,4,5,4,4,3,4,4,4,4,5,4,4,5,4,5,4,4,quizes after every unit  good lecture notes,the time limit in the quiz should be increased but so far I am enjoying the unit,4.1818,3.5000,4.2727,8.5,9.0,0.0,70.00,11.53,10.00,8.33,5.67,44.97,3.00,5.00,2.85,5.00,5.00,83.40,65.78,40.00,0,7.41,24.44,17.00,41.44,D
A,1,1998,0,0,1,3,5,5,4,4,4,4,4,3,2,2,0,4,2,3,3,3,3,4,2,2,3,0,0,1,0,1,0,0,1,1,5,4,3,3,3,3,1,1,0,1,1,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,The method of delivery is like no other.  The lecturer is understanding and ensures everyone is at par after every concept.,non at the moment,5.0000,5.0000,5.0000,8.5,7.0,0.0,62.00,18.07,7.00,10.08,4.67,50.40,5.00,3.50,2.85,,5.00,65.40,61.84,40.00,0,25.93,22.45,39.00,61.45,B
C,1,2000,0,0,1,1,3,4,4,5,5,3,4,3,2,3,0,3,4,1,1,1,1,1,3,1,1,1,1,1,0,1,0,1,1,1,5,5,0,2,4,5,0,0,0,1,1,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,4,4,4,4,5,4,5,5,5,"The teaching of this unit has been excellent so far. The concepts are explained clearly with relevant business-related examples, making them easier to understand.  I enjoy learning this unit, especially the practical bit. Being able to carry out the various algorithms using a spreadsheet is exciting. ",I have no recommendation to improve the teaching and learning of this unit because they way the unit is delivered is efficient and optimum.,4.9091,4.0000,4.5455,9.5,8.9,5.0,93.60,14.98,9.00,17.00,7.00,60.73,5.00,5.00,4.85,2.85,5.00,90.80,89.47,87.00,0,11.11,34.08,42.00,76.08,A
B,1,2002,0,0,0,2,5,5,5,5,4,5,5,3,1,1,0,3,4,4,4,3,4,4,3,1,0,0,0,0,0,2,1,3,1,1,4,3,0,4,2,4,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,1.) I like that the teacher makes sure that all students understand before he moves on from a particular topic.  2.) I like that all questions from the students are perceived as valid and all are well answered.,Maybe the physical classes could have more teaching because teaching online and physically is not the same.,5.0000,4.5000,4.7273,10.0,9.0,5.0,96.00,19.02,11.00,17.50,6.50,68.37,5.00,4.55,4.85,4.85,5.00,97.00,84.21,72.00,0,15.38,33.67,42.00,75.67,A
A,1,2002,0,0,1,3,4,3,5,5,5,5,5,5,3,5,1,3,3,3,3,3,3,3,4,1,0,0,0,0,0,0,0,3,0,1,3,3,0,3,2,5,0,0,0,1,1,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,1.00,3.00,4.00,3.00,4.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,the Labs and the lectures,reduce the amount of coursework. ,3.9091,2.0000,3.5455,6.0,5.4,0.0,45.60,26.17,8.00,10.75,6.33,64.87,5.00,5.00,4.85,1.85,0.00,66.80,86.84,40.00,0,11.11,23.92,48.00,71.92,A
B,1,2001,0,0,1,3,3,3,3,3,3,5,5,5,1,1,0,4,4,2,4,2,4,4,4,2,0,0,0,0,0,3,3,3,1,1,5,5,3,5,5,5,3,0,0,0,0,4,5,5,5,5,4,5,5,4,5,5,4,3,4,4,4,4,4,5,5,5,5,4,4,Reading notes,it fine,4.7273,3.5000,4.3636,0.0,0.0,0.0,0.00,15.95,9.00,13.33,7.00,57.31,5.00,2.85,4.85,,0.00,50.80,55.26,,0,26.92,11.98,13.00,24.98,E
B,0,2001,0,0,1,3,3,3,5,4,3,5,3,4,5,3,1,2,3,2,3,2,3,2,3,1,3,0,0,1,0,0,0,1,1,1,5,5,0,5,5,5,1,0,1,0,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The concepts are well explained  The lecurer is available when needed,So far so good,5.0000,5.0000,5.0000,9.0,8.7,0.0,70.80,8.58,8.00,12.83,3.50,41.65,5.00,4.85,4.85,,5.00,78.80,47.36,30.00,0,18.52,21.70,19.00,40.70,D
